id,__season,__start_date,__end_date,__is_accept,__register_at,_student_id,_room_id
1,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,1,2022-08-17 12:32:46.000,1,1
2,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,1,2022-08-17 01:11:24.000,2,2
3,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,0,2022-08-17 01:11:27.000,3,3
4,4,2022-08-15 19:20:07.000,2023-06-15 19:20:07.000,0,2022-08-17 03:09:09.000,4,4
5,3,2022-06-15 19:20:07.000,2022-08-15 19:20:07.000,1,2022-08-17 03:09:26.000,5,5
6,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,1,2022-08-17 21:40:37.000,6,6
7,1,2022-08-15 19:20:07.000,2023-01-15 19:20:07.000,1,2022-08-17 09:00:53.000,7,7
8,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,0,2022-08-17 09:01:05.000,8,8
9,2,2022-01-15 19:20:07.000,2022-06-15 19:20:07.000,1,2022-08-19 01:41:45.000,9,9
10,3,2022-06-15 19:20:07.000,2022-08-15 19:20:07.000,1,2022-08-19 01:42:14.000,10,10
