id,__title,__content,__created_at,_student_id,_teacher_id,_parent_id
1,Harum et omnis quibusdam maxime qui doloribus et.,Beatae sunt qui id molestias eligendi praesentium ad. Et aut quod quo voluptatum voluptatem omnis praesentium. Est dolores nihil molestiae modi amet.,2022-08-03 04:31:54.000,1,\N,\N
2,Ex unde quia illo et alias.,Ducimus illo architecto reiciendis possimus et voluptate. Dolores qui a in necessitatibus debitis.,2022-01-23 11:38:01.000,1,5,1
3,Debitis nulla minima facilis modi deserunt nobis.,Illum pariatur ut animi saepe illum dicta vitae illum. Vitae temporibus aut tempora saepe aut iste culpa placeat. Et ut quaerat voluptate quisquam iure.,2022-01-03 03:20:44.000,2,7,1
4,Vero enim consequatur accusamus non illum reiciendis.,Iure omnis iste quia delectus iste et provident. Quas repellendus ipsa dolorem et laborum enim ipsa. Tempore sint qui rerum dignissimos accusantium qui omnis sit.,2022-11-28 22:44:26.000,2,\N,\N
5,Recusandae rem dolor nihil perspiciatis nesciunt.,Veniam sit voluptatem quasi quaerat. Sit adipisci non quasi corporis consequuntur dolor. Dignissimos voluptas aut et pariatur. Non consequuntur optio provident.,2021-05-21 13:47:08.000,2,\N,\N
6,Minima quo ut ea illum sunt sit et.,Sed officiis porro sed aspernatur. Quia soluta laborum cumque cupiditate eius quis ipsam. Quibusdam et quo velit dolorem eos.,2022-10-19 22:36:45.000,1,\N,\N
7,Nam deserunt enim et omnis nisi temporibus.,Id nihil qui nesciunt sunt commodi. Dolores quia voluptatum at nam eligendi. Consequuntur eos assumenda dolores ex qui et et. Voluptatem illum laboriosam vitae.,2022-07-07 17:05:54.000,1,\N,\N
8,Aut aperiam autem autem nam necessitatibus dolore quaerat.,Aut cumque explicabo repudiandae perspiciatis. Eaque quae ut magni. Asperiores dolores sit ullam consequatur voluptas.,2022-01-23 05:53:01.000,3,\N,\N
9,Quia voluptatem et praesentium eius quia.,Tenetur debitis ut deleniti amet consequatur provident consequuntur. Voluptates et et tempore temporibus.,2022-05-24 13:24:50.000,5,\N,\N
10,Ipsam iusto atque et voluptatem.,Accusamus aut soluta accusantium corporis earum est. Nam tempore explicabo quidem perspiciatis voluptatem ipsum sed eveniet. Nam in sit architecto ut veniam veritatis quis.,2022-06-25 20:56:27.000,1,\N,\N
